snomed_src,icd10_primary,icd10_desc
25374005,A09,Infectious gastroenteritis
22298006,I21,Acute myocardial infarction
13645005,J44,Chronic obstructive pulmonary disease
44054006,E11,Type 2 diabetes mellitus
233604007,J18,Pneumonia
38341003,I10,Essential hypertension
